Mark_info;Model_info;Year;Region;Vin_resolution;Mileage;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
BMW;X5;2014;Санкт-Петербург;True;68000;1;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;650;2900000
BMW;X5;2011;Екатеринбург;True;103000;3;ALLROAD_5_DOORS;True;200204;False;5;J;620;1270000
BMW;6 серия;2018;Краснодар;True;11506;1;LIFTBACK;True;040001;False;5;E;610;2990000
BMW;X3;2014;Челябинск;True;79212;3;ALLROAD_5_DOORS;True;200204;True;5;J;550;1420000
BMW;X4;2016;Липецк;True;47000;2;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;500;2090000
BMW;3 серия;2014;Екатеринбург;True;78000;2;SEDAN;True;040001;False;4;D;480;1158000
BMW;X5;2011;Нижний Новгород;True;129000;3;ALLROAD_5_DOORS;True;040001;False;5;J;620;1299000
BMW;X7;2019;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;326;6440000
BMW;X6;2013;Киров;True;150500;3;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;570;1830000
BMW;X5;2012;Оренбург;True;95000;1;ALLROAD_5_DOORS;True;97948F;False;5;J;620;1649000
BMW;7 серия;2018;Самара;True;8;2;SEDAN;True;200204;True;4;F;515;6035900
BMW;3 серия;2020;Москва;NaN;0;NaN;SEDAN;True;040001;True;4;D;480;2794808
BMW;7 серия;2011;Санкт-Петербург;True;102000;2;SEDAN;True;0000CC;False;4;F;630;890000
BMW;5 серия;2005;Москва;True;260000;1;WAGON_5_DOORS;True;040001;False;5;E;600;540000
BMW;X6;2012;Красноярск;True;110000;2;ALLROAD_5_DOORS;True;FAFBFB;False;5;J;724;1490000
BMW;X2;2020;Химки;NaN;0;NaN;ALLROAD_5_DOORS;True;97948F;True;5;J;470;2910000
BMW;3 серия;2018;Самара;True;156;1;LIFTBACK;True;FAFBFB;True;5;D;520;2833500
BMW;4 серия;2018;Самара;True;96;1;LIFTBACK;True;EE1D19;True;5;D;480;2975900
BMW;4 серия;2014;Новосибирск;True;95000;2;COUPE;True;EE1D19;False;2;D;445;1245000
