Mark_info;Model_info;Year;Price_segment;Transmission;Gear_type;Fuel_rate;Vendor_country;Region;Mileage;Horse_power;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
Nissan;Juke;2012;MEDIUM;VARIATOR;FORWARD_CONTROL;6.3;JAPANESE;Москва;146588;117;3;ALLROAD_5_DOORS;True;200204;False;5;J;251;490000
ГАЗ;31105 «Волга»;2006;ECONOMY;MECHANICAL;REAR_DRIVE;NaN;RUSSIAN;Тверь;175000;137;2;SEDAN;True;CACECB;False;4;E;500;100000
Land Rover;Range Rover Evoque;2020;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;5.6;EUROPEAN;Санкт-Петербург;0;150;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;591;3539000
Toyota;Pixis Van;2015;ECONOMY;AUTOMATIC;ALL_WHEEL_DRIVE;6.4;JAPANESE;Москва;85000;53;1;MICROVAN;True;FAFBFB;False;5;M;NaN;430000
Land Rover;Range Rover Evoque;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;5.6;EUROPEAN;Санкт-Петербург;0;150;NaN;ALLROAD_5_DOORS;True;97948F;True;5;J;591;3607000
Mitsubishi;Lancer;2007;MEDIUM;MECHANICAL;FORWARD_CONTROL;6.4;JAPANESE;Санкт-Петербург;145000;109;1;SEDAN;True;EE1D19;False;4;C;315;345000
Ford;Focus;2011;MEDIUM;MECHANICAL;FORWARD_CONTROL;6.7;AMERICAN;Москва;147500;100;2;HATCHBACK_5_DOORS;True;040001;False;5;C;282;345000
Opel;Astra;2008;MEDIUM;MECHANICAL;FORWARD_CONTROL;6.5;EUROPEAN;Москва;199000;115;3;HATCHBACK_5_DOORS;True;97948F;False;5;C;380;279000
Audi;A6;2016;PREMIUM;ROBOT;ALL_WHEEL_DRIVE;7.4;EUROPEAN;Санкт-Петербург;89000;333;3;SEDAN;False;040001;False;4;E;530;2150000
SsangYong;Actyon;2012;MEDIUM;MECHANICAL;FORWARD_CONTROL;7.5;KOREAN;Севастополь;75000;149;1;ALLROAD_5_DOORS;True;040001;False;5;J;486;799000
SsangYong;Kyron;2013;MEDIUM;MECHANICAL;ALL_WHEEL_DRIVE;7.7;KOREAN;Берёзовский;90000;141;1;ALLROAD_5_DOORS;True;040001;False;5;J;625;590000
BMW;6 серия;2015;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.9;EUROPEAN;Йошкар-Ола;17900;320;3;COUPE;True;FAFBFB;False;2;E;460;2500000
Mitsubishi;Colt;2010;ECONOMY;ROBOT;FORWARD_CONTROL;5.6;JAPANESE;Москва;109732;95;1;HATCHBACK_5_DOORS;True;22A0F8;False;5;B;214;358000
Volkswagen;Touareg;2005;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;NaN;EUROPEAN;Москва;195000;174;3;ALLROAD_5_DOORS;True;040001;False;5;J;555;490000
Land Rover;Range Rover;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.7;EUROPEAN;Москва;0;525;NaN;ALLROAD_5_DOORS;True;040001;True;5;J;900;9152000
Volkswagen;Passat CC;2014;MEDIUM;ROBOT;FORWARD_CONTROL;7.3;EUROPEAN;Москва;124000;152;2;SEDAN;True;040001;False;4;E;532;910000
Mercedes-Benz;A-Класс;2006;PREMIUM;MECHANICAL;FORWARD_CONTROL;7.5;EUROPEAN;Санкт-Петербург;119000;116;3;HATCHBACK_5_DOORS;False;C49648;False;5;A;435;315000
Toyota;Celica;1994;MEDIUM;MECHANICAL;FORWARD_CONTROL;NaN;JAPANESE;Екатеринбург;33333;115;3;COUPE;True;EE1D19;False;2;S;320;170000
Daewoo;Matiz;2012;ECONOMY;MECHANICAL;FORWARD_CONTROL;6.8;KOREAN;Санкт-Петербург;74500;52;2;HATCHBACK_5_DOORS;True;97948F;False;5;A;155;155000
Land Rover;Discovery;2020;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.2;EUROPEAN;Москва;0;249;NaN;ALLROAD_5_DOORS;True;0000CC;True;5;J;1231;5851716
Mitsubishi;Lancer;2006;MEDIUM;MECHANICAL;FORWARD_CONTROL;6.7;JAPANESE;Санкт-Петербург;168000;98;3;SEDAN;True;CACECB;False;4;C;430;155000
Porsche;Cayenne;2012;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.2;EUROPEAN;Волгоград;80000;245;1;ALLROAD_5_DOORS;True;040001;False;5;J;670;2350000
Skoda;Yeti;2012;MEDIUM;ROBOT;ALL_WHEEL_DRIVE;8;EUROPEAN;Берёзовский;117000;152;2;ALLROAD_5_DOORS;True;200204;False;5;J;405;615000
Peugeot;308;2008;MEDIUM;AUTOMATIC;FORWARD_CONTROL;7.3;EUROPEAN;Мытищи;143000;120;3;HATCHBACK_5_DOORS;False;97948F;False;5;C;430;305000
Land Rover;Discovery Sport;2020;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.9;EUROPEAN;Москва;0;200;NaN;ALLROAD_5_DOORS;True;EE1D19;True;5;J;980;4245000
Hyundai;Accent;2005;ECONOMY;MECHANICAL;FORWARD_CONTROL;7.5;KOREAN;Батайск;295000;102;3;SEDAN;False;4A2197;False;4;B;375;180000
Subaru;Impreza;2007;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;7.9;JAPANESE;Лыткарино;173000;105;3;SEDAN;False;040001;False;4;C;401;350000
SsangYong;Kyron;2011;MEDIUM;MECHANICAL;ALL_WHEEL_DRIVE;11;KOREAN;Санкт-Петербург;208426;150;2;ALLROAD_5_DOORS;True;CACECB;False;5;J;625;395000
Audi;A4;2003;PREMIUM;VARIATOR;FORWARD_CONTROL;7.9;EUROPEAN;Подольск;175000;130;3;WAGON_5_DOORS;False;EE1D19;False;5;D;442;375000
Audi;A4;2004;PREMIUM;MECHANICAL;FORWARD_CONTROL;8;EUROPEAN;Санкт-Петербург;304260;130;3;SEDAN;False;040001;False;4;D;445;287000
Land Rover;Range Rover Sport;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.8;EUROPEAN;Москва;0;525;NaN;ALLROAD_5_DOORS;True;FF8649;True;5;J;489;9589000
Skoda;Octavia;2013;MEDIUM;ROBOT;FORWARD_CONTROL;6.8;EUROPEAN;Москва;145000;152;2;LIFTBACK;True;FAFBFB;False;5;C;560;460000
Peugeot;207;2007;MEDIUM;AUTOMATIC;FORWARD_CONTROL;NaN;EUROPEAN;Москва;152000;120;3;HATCHBACK_5_DOORS;True;EE1D19;False;5;B;270;230000
BMW;X5;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;8.8;EUROPEAN;Москва;0;340;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;645;5168800
Porsche;Cayman;2014;PREMIUM;MECHANICAL;REAR_DRIVE;8.2;EUROPEAN;Санкт-Петербург;9000;275;3;COUPE;True;040001;False;2;S;275;2600000
Volkswagen;Golf;2013;MEDIUM;ROBOT;FORWARD_CONTROL;5;EUROPEAN;Волгоград;114047;122;2;HATCHBACK_5_DOORS;True;FAFBFB;False;5;C;380;558000
LADA (ВАЗ);2110;2002;ECONOMY;MECHANICAL;FORWARD_CONTROL;7.2;RUSSIAN;Тюмень;160000;90;3;SEDAN;True;C49648;False;4;B;450;55000
LADA (ВАЗ);Granta;2013;ECONOMY;MECHANICAL;FORWARD_CONTROL;7.4;RUSSIAN;Тамбов;200000;82;1;SEDAN;True;0000CC;False;4;B;480;150000
Land Rover;Range Rover Sport;2010;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;14.9;EUROPEAN;Москва;83876;510;3;ALLROAD_5_DOORS;True;CACECB;False;5;J;960;1095000
Audi;A6;2007;PREMIUM;VARIATOR;FORWARD_CONTROL;6;EUROPEAN;Москва;224000;140;3;SEDAN;False;CACECB;False;4;E;546;465000
Hyundai;Solaris;2017;ECONOMY;MECHANICAL;FORWARD_CONTROL;5.7;KOREAN;Москва;108100;100;2;SEDAN;True;FAFBFB;False;4;B;480;465000
